"rank";"lex";"num";"ipm"
"165";"что-то";"223854";"574.7644262830976"
"166";"писать";"222387";"570.9977774255507"
"167";"никто";"221576";"568.9154650714466"
"168";"вода";"219775";"564.2912424453785"
"169";"спросить";"218769";"561.7082507952815"
"170";"хороший";"217242";"557.7875467697368"
"171";"почти";"216261";"555.2687447729724"
"172";"получить";"215227";"552.613860711143"
"173";"любить";"211585";"543.2627120136749"
"174";"оно";"208206";"534.586838469264"
"175";"народ";"207340";"532.3633088778286"
"176";"образ";"202852";"520.839982311591"
"177";"***";"201917";"518.4392892769582"
"178";"выйти";"201039";"516.1849486519234"
"179";"давать";"200128";"513.8458776844897"
"180";"вдруг";"198886";"510.6569357069345"
"181";"ночь";"198300";"509.15233023282246"
"182";"вечер";"196952";"505.69122412513786"
"183";"совсем";"196644";"504.9004075960824"
"184";"просто";"196389";"504.24567313209155"
"185";"начать";"196272";"503.94526555449585"
"186";"остаться";"195884";"502.9490421347766"
"187";"женщина";"195261";"501.3494359737325"
"188";"уж";"193581";"497.03589126979324"
"189";"1";"193480";"496.77656507033026"
"190";"душа";"192259";"493.64154240157444"
"191";"сей";"191873";"492.65045415412175"
"192";"нога";"189336";"486.1364881339469"
"193";"лишь";"187789";"482.16443238573623"
"194";"некоторый";"187674";"481.86915998040706"
"195";"голос";"187010";"480.1642827878977"
"196";"молодой";"186410";"478.6237311079195"
"197";"также";"185913";"477.3476407996708"
"198";"2";"185291";"475.75060222476"
"199";"мысль";"185197";"475.50924912823"
"200";"опять";"185192";"475.4964111975636"
"201";"понимать";"185057";"475.14978706956845"
"202";"сегодня";"184715";"474.2716726119808"
"203";"письмо";"184227";"473.01869057893185"
"204";"старый";"183007";"469.8862354963093"
"205";"книга";"182945";"469.7270451560449"
"206";"общий";"182826";"469.4215024061825"
"207";"страна";"181965";"467.2108107454137"
"208";"второй";"180623";"463.76511015452894"
"209";"однако";"180246";"462.7971301822759"
"210";"найти";"180228";"462.7509136318766"
"211";"отношение";"179662";"461.2976598804304"
"212";"пока";"179628";"461.2103619518983"
"213";"больше";"178702";"458.83277719246513"
"214";"деньги";"178378";"458.0008792852769"
"215";"работать";"177162";"454.87869454718754"
"216";"понять";"176873";"454.13666215466463"
"217";"великий";"174919";"449.11959885020207"
"218";"именно";"174205";"447.28634235102794"
"219";"дорога";"172197";"442.13062939536724"
"220";"никакой";"171243";"439.6811522242018"
"221";"пора";"170574";"437.963437101026"
"222";"увидеть";"170111";"436.77464472130947"
"223";"вместе";"169631";"435.54220337732676"
"224";"путь";"165073";"423.8391457817584"
"225";"твой";"164759";"423.0329237359031"
"226";"оказаться";"164654";"422.76332719190697"
"227";"дверь";"164536";"422.46035202817785"
"228";"минута";"164466";"422.2806209988471"
"229";"жена";"164304";"421.8646720452529"
"230";"будто";"164244";"421.7106168772551"
"231";"свет";"162171";"416.38801082293014"
"232";"утро";"162125";"416.2699018607985"
"233";"имя";"161557";"414.8115129370857"
"234";"полный";"161272";"414.07975088909603"
"235";"война";"160942";"413.23244746510795"
"236";"история";"160811";"412.89609368164605"
"237";"комната";"159648";"409.9099910086215"
"238";"никогда";"158991";"408.2230869190452"
"239";"правда";"156298";"401.3085774620761"
"240";"мать";"155841";"400.1351905991593"
"241";"почему";"155617";"399.5600513053007"
"242";"маленький";"155374";"398.9361278749095"
"243";"наконец";"155215";"398.5278816797153"
"244";"главный";"155028";"398.0477430727887"
"245";"стол";"154716";"397.2466561992"
"246";"высокий";"154344";"396.29151415761345"
"247";"пройти";"153831";"394.97434247123203"
"248";"читать";"153288";"393.58014320085164"
"249";"белый";"152458";"391.44904671021504"
"250";"а.";"152301";"391.0459356872874"
"251";"мало";"152058";"390.4220122568962"
"252";"сердце";"150878";"387.39226061960557"
"253";"принять";"149374";"383.53061107512667"
"254";"совершенно";"149000";"382.5703338612735"
"255";"вообще";"148454";"381.1684318324933"
"256";"считать";"146794";"376.90623885122005"
"257";"сын";"146697";"376.65718299629026"
"258";"бывать";"145303";"373.077967926474"
"259";"написать";"144629";"371.34741487263176"
"260";"право";"144250";"370.37429972811213"
"261";"часто";"144079";"369.9352424993183"
"262";"находиться";"143737";"369.0571280417307"
"263";"разный";"143525";"368.5127997814717"
"264";"нельзя";"143136";"367.5140087756191"
"265";"являться";"142343";"365.4779129719145"
"266";"3";"142278";"365.3110198732502"
"267";"язык";"142031";"364.67682609832576"
"268";"тысяча";"141294";"362.78451511808584"
"269";"черный";"141101";"362.28897099435943"
"270";"власть";"139367";"357.8367766392222"
"271";"кроме";"139334";"357.7520462968234"
"272";"число";"139254";"357.5466394061596"
"273";"любовь";"138917";"356.6813628792385"
"274";"нужный";"138727";"356.19352151391206"
"275";"ходить";"138582";"355.82122152458396"
"276";"улица";"138359";"355.2486498168587"
"277";"ответить";"137614";"353.33579814755234"
"278";"против";"136022";"349.2482010233433"
"279";"князь";"135907";"348.9529286180141"
"280";"лежать";"135807";"348.6961700046844"
"281";"сразу";"135239";"347.2377810809716"
"282";"рубль";"133619";"343.07829154503025"
"283";"общество";"133032";"341.57111848478485"
"284";"смерть";"132930";"341.3092246991885"
"285";"особенно";"132739";"340.8188157477288"
"286";"начало";"132734";"340.8059778170623"
"287";"значить";"132490";"340.1794868005378"
"288";"скоро";"132376";"339.8867819813419"
"289";"просить";"132180";"339.3835350992157"
"290";"куда";"131663";"338.05609306830104"
"291";"нужно";"131292";"337.10351861284784"
"292";"про";"130403";"334.8209345403467"
"293";"снова";"130117";"334.08660490622367"
"294";"отвечать";"129963";"333.6911966416959"
"295";"решить";"129581";"332.7103787387764"
"296";"ждать";"128020";"328.7023767846996"
"297";"оставаться";"127909";"328.4173747239036"
"298";"система";"126943";"325.9370865191386"
"299";"ко";"125971";"323.44139279757377"
"300";"положение";"125969";"323.4362576253072"
"301";"век";"125901";"323.26166176824296"
"302";"около";"125586";"322.45287213625437"
"303";"уйти";"125215";"321.5002976808011"
"304";"известный";"124746";"320.29609978428476"
"305";"целый";"124259";"319.04568533736904"
"306";"настоящий";"124028";"318.4525729405774"
"307";"оба";"123810";"317.89283916351866"
"308";"брат";"123679";"317.5564853800567"
"309";"сколько";"123464";"317.00445436139785"
"310";"в.";"122796";"315.2893068243553"
"311";"долго";"122687";"315.0094399358259"
"312";"помнить";"122656";"314.92984476569376"
"313";"господин";"122586";"314.75011373636295"
"314";"окно";"121709";"312.4983406974614"
"315";"среди";"121594";"312.2030682921322"
"316";"вести";"121487";"311.92833657586937"
"317";"живой";"121304";"311.45846831347603"
"318";"месяц";"120898";"310.41602834335737"
"319";"форма";"120763";"310.0694042153622"
"320";"чувство";"120241";"308.72912425378115"
"321";"возможность";"119895";"307.84073945166034"
"322";"приехать";"119797";"307.5891160105972"
"323";"например";"119625";"307.1474911956701"
"324";"иной";"119210";"306.0819429503518"
"325";"узнать";"118834";"305.11653056423205"
"326";"советский";"118360";"303.8994947370492"
"327";"разговор";"117997";"302.9674609706624"
"328";"называть";"117581";"301.89934513921077"
"329";"мера";"117240";"301.02379826775643"
"330";"подобный";"117149";"300.7901479296264"
"331";"слышать";"116858";"300.0429803648369"
"332";"чтоб";"116599";"299.377975556313"
"333";"иногда";"116302";"298.61540247472374"
"334";"продолжать";"115971";"297.76553146460236"
"335";"быстро";"115370";"296.2224121984908"
"336";"закон";"115221";"295.83984186462953"
"337";"труд";"114748";"294.62537362357995"
"338";"начинать";"114731";"294.5817246593139"
"339";"многий";"114505";"294.00145019318876"
"340";"заметить";"114453";"293.8679357142573"
"341";"играть";"114361";"293.63171778999396"
"342";"4";"114245";"293.3338777985315"
"343";"затем";"114242";"293.32617504013166"
"344";"красный";"114197";"293.2106336641333"
"345";"поэтому";"114091";"292.9384695340038"
"346";"взгляд";"114007";"292.7227922988068"
"347";"чувствовать";"113882";"292.40184403214465"
"348";"статья";"113505";"291.4338640598916"
"349";"машина";"113484";"291.3799447510924"
"350";"точно";"113451";"291.2952144086936"
"351";"прежде";"113404";"291.1745378604286"
"352";"вернуться";"113032";"290.2193958188421"
"353";"следовать";"112988";"290.106422028977"
"354";"берег";"112190";"288.0574882946059"
"355";"военный";"112155";"287.9676227799405"
"356";"далеко";"111864";"287.22045521515105"
"357";"церковь";"111179";"285.4616587138425"
"358";"хоть";"110875";"284.68111252932016"
"359";"вещь";"110133";"282.77596361841364"
"360";"собственный";"109953";"282.3137981144202"
"361";"действие";"109499";"281.1481140099033"
"362";"ехать";"109359";"280.7886519512417"
"363";"речь";"108860";"279.50742647072644"
"364";"посмотреть";"108798";"279.34823613046206"
"365";"стена";"108709";"279.11972096459857"
"366";"условие";"108560";"278.7371506307373"
"367";"внимание";"108547";"278.70377201100445"
"368";"прийтись";"108504";"278.5933658072727"
"369";"назад";"108380";"278.2749851267438"
"370";"товарищ";"108266";"277.9822803075479"
"371";"школа";"108253";"277.94890168781507"
"372";"подумать";"108205";"277.8256575534168"
"373";"давно";"107605";"276.2851058734385"
"374";"оставить";"107392";"275.73821002704625"
"375";"бояться";"107205";"275.2580714201197"
"376";"следующий";"107192";"275.2246928003868"
"377";"тело";"106464";"273.3554900953465"
"378";"лес";"106340";"273.0371094148177"
"379";"движение";"106182";"272.6314308057567"
"380";"театр";"105777";"271.59155842177137"
"381";"5";"105709";"271.41696256470715"
"382";"огромный";"105512";"270.9111480964476"
"383";"цель";"105152";"269.9868170884606"
"384";"состояние";"105123";"269.91235709059504"
"385";"чуть";"105122";"269.90978950446174"
"386";"смысл";"105107";"269.8712757124623"
"387";"спать";"105025";"269.66073364953195"
"388";"пять";"104181";"267.4936909530291"
"389";"третий";"104124";"267.34733854343114"
"390";"довольно";"103768";"266.43327787997737"
"391";"рабочий";"102679";"263.6371765808168"
"392";"10";"102530";"263.2546062469556"
"393";"слушать";"102427";"262.99014487522595"
"394";"хотеться";"102027";"261.96311042190706"
"395";"дух";"102013";"261.927164216041"
"396";"муж";"101946";"261.75513594511"
"397";"поставить";"101506";"260.6253980464593"
"398";"река";"101244";"259.9526904795355"
"399";"наука";"101075";"259.5187684230082"
"400";"помощь";"100778";"258.75619534141896"
"401";"развитие";"100324";"257.5905112369021"
"402";"прямо";"100258";"257.4210505521045"
"403";"сильный";"100114";"257.0513181489097"
"404";"связь";"99885";"256.4633409243846"
"405";"показать";"99722";"256.0448243846572"
"406";"российский";"99228";"254.7764368348084"
"407";"ответ";"98911";"253.9625120305532"
"408";"группа";"98762";"253.57994169669195"
"409";"действительно";"98576";"253.10237067589867"
"410";"иван";"98162";"252.03939001671367"
"411";"государственный";"97958";"251.51560244552104"
"412";"выходить";"97833";"251.1946541788589"
"413";"порядок";"97224";"249.63099422368094"
"414";"двор";"97186";"249.53342595061562"
"415";"результат";"97008";"249.07639561888877"
"416";"море";"96326";"247.3253018759801"
"417";"совет";"96257";"247.1481384327826"
"418";"из-за";"95981";"246.4394846599926"
"419";"все-таки";"95756";"245.86177778000072"
"420";"войти";"95731";"245.7975881266683"
"421";"средство";"95360";"244.84501367121507"
"422";"армия";"95279";"244.63703919441804"
"423";"рассказывать";"95278";"244.63447160828468"
"424";"становиться";"95016";"243.96176404136085"
"425";"старик";"94951";"243.79487094269655"
"426";"причина";"94806";"243.42257095336845"
"427";"четыре";"94706";"243.16581234003874"
"428";"н.";"94666";"243.06310889470686"
"429";"лучший";"94573";"242.82432338431025"
"430";"московский";"94501";"242.63945718271285"
"431";"существовать";"94317";"242.16702133418616"
"432";"простой";"94290";"242.09769650858715"
"433";"важный";"94105";"241.62269307392717"
"434";"далее";"93122";"239.09875590489608"
"435";"глядеть";"92712";"238.04604559024426"
"436";"решение";"92450";"237.37333802332037"
"437";"происходить";"92291";"236.96509182812616"
"438";"ряд";"91802";"235.70954220894384"
"439";"добрый";"91669";"235.36805325321532"
"440";"квартира";"91401";"234.6799401694917"
"441";"государство";"91314";"234.45656017589485"
"442";"семья";"91076";"233.84547467617014"
"443";"кто-то";"91068";"233.82493398710378"
"444";"солнце";"91006";"233.66574364683933"
"445";"принимать";"90959";"233.54506709857438"
"446";"гора";"90761";"233.03668504418152"
"447";"мама";"90542";"232.47438368098946"
"448";"забыть";"90514";"232.40249126925715"
"449";"газета";"90414";"232.14573265592742"
"450";"весьма";"90335";"231.94289335139698"
"451";"род";"90026";"231.14950923620813"
"452";"впрочем";"90011";"231.11099544420867"
"453";"приходить";"89848";"230.69247890448125"
"454";"область";"89739";"230.41261201595185"
"455";"слишком";"89710";"230.33815201808622"
"456";"готовый";"89433";"229.62693065916292"
"457";"человеческий";"89134";"228.8592224053071"
"458";"небо";"89098";"228.7667893045084"
"459";"как-то";"88983";"228.47151689917922"
"460";"менее";"88975";"228.45097621011286"
"461";"равный";"88550";"227.35975210346157"
"462";"зачем";"88498";"227.2262376245301"
"463";"процесс";"88048";"226.07082386454638"
"464";"брать";"87909";"225.7139293920181"
"465";"рядом";"87790";"225.40838664215573"
"466";"искусство";"87502";"224.66892183576616"
"467";"девушка";"87381";"224.35824391363718"
"468";"воздух";"87342";"224.25810805443862"
"469";"ибо";"87148";"223.75999634457898"
"470";"неделя";"87148";"223.75999634457898"
"471";"александр";"87041";"223.48526462831617"
"472";"проблема";"86909";"223.14634325872095"
"473";"роль";"86702";"222.61485292912843"
"474";"суд";"86692";"222.5891770677955"
"475";"спрашивать";"86487";"222.06282191046955"
"476";"искать";"86148";"221.19241021128184"
"477";"плечо";"86032";"220.89457021981937"
"478";"представлять";"85912";"220.58645988382372"
"479";"любой";"85883";"220.51199988595812"
"480";"автор";"85692";"220.02159093449833"
"481";"вчера";"85497";"219.5209116385054"
"482";"правительство";"85416";"219.31293716170833"
"483";"знакомый";"85168";"218.67617580065064"
"484";"момент";"84911";"218.01630616439328"
"485";"легко";"84885";"217.94954892492757"
"486";"желать";"84679";"217.42062618146835"
"487";"ж";"84510";"216.98670412494113"
"488";"деревня";"84345";"216.56305241294712"
"489";"тяжелый";"84307";"216.4654841398818"
"490";"6";"84263";"216.35251035001673"
"491";"вера";"84228";"216.26264483535132"
"492";"служить";"84218";"216.23696897401837"
"493";"основной";"84188";"216.15994139001944"
"494";"небольшой";"84121";"215.98791311908855"
"495";"умереть";"84102";"215.9391289825559"
"496";"требовать";"83954";"215.55912623482791"
"497";"картина";"83839";"215.26385382949874"
"498";"идея";"83816";"215.2047993484329"
"499";"генерал";"83662";"214.80939108390513"
"500";"верить";"83414";"214.17262972284746"
